word,phonetic,part_of_speech,meaning,difficulty,category
fancy,/ˈfænsi/,adj.,花哨的；n. 幻想；喜欢,easy,CET4
fascinate,/ˈfæsɪneɪt/,v.,使着迷,medium,CET4
fashion,/ˈfæʃn/,n.,时尚；方式,easy,CET4
fault,/fɔːlt/,n.,过错；缺点；故障,easy,CET4
favor,/ˈfeɪvər/,n.,恩惠；赞同；v. 赞成,easy,CET4
feature,/ˈfiːtʃər/,n.,特征；特色；v. 以……为特色,easy,CET4
federal,/ˈfedərəl/,adj.,联邦的,medium,CET4
fee,/fiː/,n.,费用；酬金,easy,CET4
feedback,/ˈfiːdbæk/,n.,反馈,easy,CET4
female,/ˈfiːmeɪl/,n.,女性；adj. 雌性的,easy,CET4
festival,/ˈfestɪvl/,n.,节日；庆祝活动,easy,CET4
figure,/ˈfɪɡər/,n.,数字；人物；体型；v. 认为,easy,CET4
finance,/ˈfaɪnæns/,n.,金融；财政；v. 资助,medium,CET4
flexible,/ˈfleksəbl/,adj.,灵活的；柔韧的,medium,CET4
flood,/flʌd/,n.,洪水；v. 淹没,easy,CET4
fluent,/ˈfluːənt/,adj.,流利的,medium,CET4
focus,/ˈfəʊkəs/,v.,集中；n. 焦点,easy,CET4
forbid,/fəˈbɪd/,v.,禁止；不许,medium,CET4
forecast,/ˈfɔːkɑːst/,n.,预测；预报；v. 预报,medium,CET4
foreign,/ˈfɒrən/,adj.,外国的；外来的,easy,CET4
formal,/ˈfɔːml/,adj.,正式的；形式的,easy,CET4
former,/ˈfɔːmər/,adj.,以前的；前者,easy,CET4
fortune,/ˈfɔːtʃuːn/,n.,财富；运气,medium,CET4
foundation,/faʊnˈdeɪʃn/,n.,基础；基金会；建立,medium,CET4
framework,/ˈfreɪmwɜːk/,n.,框架；结构,medium,CET4
freedom,/ˈfriːdəm/,n.,自由,easy,CET4
frequent,/ˈfriːkwənt/,adj.,频繁的,medium,CET4
fresh,/freʃ/,adj.,新鲜的；新的,easy,CET4
friendly,/ˈfrendli/,adj.,友好的,easy,CET4
frighten,/ˈfraɪtn/,v.,使害怕,medium,CET4
frontier,/ˈfrʌntɪər/,n.,边境；前沿,medium,CET4
frustrate,/frʌˈstreɪt/,v.,使沮丧；挫败,medium,CET4
fuel,/ˈfjuːəl/,n.,燃料；v. 加燃料,medium,CET4
function,/ˈfʌŋkʃn/,n.,功能；函数；v. 运转,medium,CET4
fund,/fʌnd/,n.,资金；基金；v. 资助,medium,CET4
fundamental,/ˌfʌndəˈmentl/,adj.,基本的；根本的,medium,CET4
furnish,/ˈfɜːnɪʃ/,v.,布置；提供,medium,CET4
further,/ˈfɜːðər/,adv.,更远；进一步；adj. 进一步的,easy,CET4
future,/ˈfjuːtʃər/,n.,未来；前途；adj. 未来的,easy,CET4
gain,/ɡeɪn/,v.,获得；增加；n. 收益,easy,CET4
gap,/ɡæp/,n.,差距；缺口；间隔,easy,CET4
garage,/ˈɡærɑːʒ/,n.,车库；修车厂,easy,CET4
generate,/ˈdʒenəreɪt/,v.,产生；发电,medium,CET4
generous,/ˈdʒenərəs/,adj.,慷慨的；大方的,medium,CET4
genius,/ˈdʒiːniəs/,n.,天才；天赋,medium,CET4
gentle,/ˈdʒentl/,adj.,温和的；轻柔的,easy,CET4
genuine,/ˈdʒenjuɪn/,adj.,真正的；真诚的,medium,CET4
gesture,/ˈdʒestʃər/,n.,手势；姿态,easy,CET4
giant,/ˈdʒaɪənt/,adj.,巨大的；n. 巨人,easy,CET4
global,/ˈɡləʊbl/,adj.,全球的；全面的,easy,CET4
glory,/ˈɡlɔːri/,n.,光荣；荣誉,medium,CET4
goal,/ɡəʊl/,n.,目标；球门,easy,CET4
govern,/ˈɡʌvn/,v.,统治；管理,medium,CET4
gradual,/ˈɡrædʒuəl/,adj.,逐渐的,medium,CET4
graduate,/ˈɡrædʒueɪt/,v.,毕业；n. 毕业生,easy,CET4
grain,/ɡreɪn/,n.,谷物；颗粒,medium,CET4
grand,/ɡrænd/,adj.,宏伟的；壮丽的,easy,CET4
grateful,/ˈɡreɪtfl/,adj.,感激的,easy,CET4
guarantee,/ˌɡærənˈtiː/,v.,保证；n. 保证书,medium,CET4
guidance,/ˈɡaɪdns/,n.,指导；引导,medium,CET4
guilty,/ˈɡɪlti/,adj.,内疚的；有罪的,easy,CET4
habit,/ˈhæbɪt/,n.,习惯,easy,CET4
handle,/ˈhændl/,v.,处理；操作；n. 把手,easy,CET4
harbor,/ˈhɑːbər/,n.,港口；v. 庇护,easy,CET4
harmony,/ˈhɑːməni/,n.,和谐；融洽,medium,CET4
harvest,/ˈhɑːvɪst/,n.,收获；v. 收割,easy,CET4
haste,/heɪst/,n.,匆忙；急忙,medium,CET4
hatred,/ˈheɪtrɪd/,n.,仇恨；憎恨,medium,CET4
headache,/ˈhedeɪk/,n.,头痛,easy,CET4
health,/helθ/,n.,健康,easy,CET4
heaven,/ˈhevn/,n.,天堂；天空,medium,CET4
height,/haɪt/,n.,高度；高处,easy,CET4
hesitate,/ˈhezɪteɪt/,v.,犹豫；迟疑,medium,CET4
history,/ˈhɪstri/,n.,历史,easy,CET4
honest,/ˈɒnɪst/,adj.,诚实的,easy,CET4
honey,/ˈhʌni/,n.,蜂蜜；亲爱的,easy,CET4
honor,/ˈɒnər/,n.,荣誉；尊敬；v. 尊敬,easy,CET4
hope,/həʊp/,n.,希望；v. 希望,easy,CET4
horizon,/həˈraɪzn/,n.,地平线；眼界,medium,CET4
host,/həʊst/,n.,主人；主持人；v. 主办,easy,CET4
household,/ˈhaʊshəʊld/,n.,家庭；adj. 家庭的,medium,CET4
housing,/ˈhaʊzɪŋ/,n.,住房；住宅,easy,CET4
humble,/ˈhʌmbl/,adj.,谦逊的；卑微的,medium,CET4
humor,/ˈhjuːmər/,n.,幽默；风趣,easy,CET4
hunt,/hʌnt/,v.,打猎；搜寻,easy,CET4
hurricane,/ˈhʌrɪkən/,n.,飓风,medium,CET4
ideal,/aɪˈdiːəl/,adj.,理想的；n. 理想,easy,CET4
identify,/aɪˈdentɪfaɪ/,v.,识别；确认,medium,CET4
identity,/aɪˈdentəti/,n.,身份；同一性,medium,CET4
ignore,/ɪɡˈnɔːr/,v.,忽视；不理会,medium,CET4
illegal,/ɪˈliːɡl/,adj.,非法的,medium,CET4
illustrate,/ˈɪləstreɪt/,v.,说明；举例说明；加插图,medium,CET4
image,/ˈɪmɪdʒ/,n.,形象；图像,easy,CET4
imagine,/ɪˈmædʒɪn/,v.,想象；设想,easy,CET4
imitate,/ˈɪmɪteɪt/,v.,模仿；仿效,medium,CET4
immediate,/ɪˈmiːdiət/,adj.,立即的；直接的,easy,CET4
immense,/ɪˈmens/,adj.,巨大的；广大的,medium,CET4
immigrant,/ˈɪmɪɡrənt/,n.,移民,medium,CET4
impact,/ˈɪmpækt/,n.,影响；冲击；v. 影响,medium,CET4
implement,/ˈɪmplɪment/,v.,实施；执行；n. 工具,medium,CET4
imply,/ɪmˈplaɪ/,v.,暗示；意味着,medium,CET4
import,/ɪmˈpɔːt/,v.,进口；n. 进口商品,medium,CET4
impress,/ɪmˈpres/,v.,给……留下印象,medium,CET4
improve,/ɪmˈpruːv/,v.,改善；提高,easy,CET4
include,/ɪnˈkluːd/,v.,包括；包含,easy,CET4
income,/ˈɪnkʌm/,n.,收入；所得,easy,CET4
increase,/ɪnˈkriːs/,v.,增加；增长；n. 增加,easy,CET4
indeed,/ɪnˈdiːd/,adv.,确实；真正地,easy,CET4
independent,/ˌɪndɪˈpendənt/,adj.,独立的；自主的,medium,CET4
indicate,/ˈɪndɪkeɪt/,v.,表明；指示,medium,CET4
individual,/ˌɪndɪˈvɪdʒuəl/,n.,个人；adj. 个人的,medium,CET4
industry,/ˈɪndəstri/,n.,工业；行业,easy,CET4
infect,/ɪnˈfekt/,v.,传染；感染,medium,CET4
infer,/ɪnˈfɜːr/,v.,推断；推论,medium,CET4
influence,/ˈɪnfluəns/,n.,影响；v. 影响,easy,CET4
inform,/ɪnˈfɔːm/,v.,通知；告知,easy,CET4
ingredient,/ɪnˈɡriːdiənt/,n.,成分；原料；因素,medium,CET4
inherit,/ɪnˈherɪt/,v.,继承,medium,CET4
initial,/ɪˈnɪʃl/,adj.,最初的；n. 首字母,medium,CET4
injure,/ˈɪndʒər/,v.,伤害；损害,easy,CET4
innocent,/ˈɪnəsnt/,adj.,无辜的；天真的,medium,CET4
innovation,/ˌɪnəˈveɪʃn/,n.,创新；革新,medium,CET4
inquiry,/ɪnˈkwaɪəri/,n.,询问；调查,medium,CET4
insist,/ɪnˈsɪst/,v.,坚持；坚决要求,medium,CET4
inspire,/ɪnˈspaɪər/,v.,鼓舞；激发；启迪,medium,CET4
install,/ɪnˈstɔːl/,v.,安装；安置,medium,CET4
instance,/ˈɪnstəns/,n.,例子；实例,easy,CET4
instead,/ɪnˈsted/,adv.,代替；反而,easy,CET4
institute,/ˈɪnstɪtjuːt/,n.,学院；研究所；v. 建立,medium,CET4
instruct,/ɪnˈstrʌkt/,v.,指示；教导,medium,CET4
instrument,/ˈɪnstrəmənt/,n.,仪器；乐器；工具,medium,CET4
insurance,/ɪnˈʃʊərəns/,n.,保险；保险费,medium,CET4
intelligence,/ɪnˈtelɪdʒəns/,n.,智力；情报,medium,CET4
intend,/ɪnˈtend/,v.,打算；想要,easy,CET4
interest,/ˈɪntrəst/,n.,兴趣；利息；v. 使感兴趣,easy,CET4
interfere,/ˌɪntəˈfɪər/,v.,干涉；干扰,medium,CET4
interior,/ɪnˈtɪəriər/,n.,内部；adj. 内部的,medium,CET4
internal,/ɪnˈtɜːnl/,adj.,内部的；国内的,medium,CET4
international,/ˌɪntəˈnæʃnəl/,adj.,国际的,easy,CET4
interpret,/ɪnˈtɜːprɪt/,v.,解释；口译,medium,CET4
interrupt,/ˌɪntəˈrʌpt/,v.,打断；中断,medium,CET4
interview,/ˈɪntəvjuː/,n.,面试；采访；v. 采访,easy,CET4
intimate,/ˈɪntɪmət/,adj.,亲密的；私人的,medium,CET4
introduce,/ˌɪntrəˈdjuːs/,v.,介绍；引进,easy,CET4
invade,/ɪnˈveɪd/,v.,入侵；侵犯,medium,CET4
invent,/ɪnˈvent/,v.,发明；编造,easy,CET4
invest,/ɪnˈvest/,v.,投资；投入,medium,CET4
investigate,/ɪnˈvestɪɡeɪt/,v.,调查；研究,medium,CET4
invite,/ɪnˈvaɪt/,v.,邀请,easy,CET4
involve,/ɪnˈvɒlv/,v.,涉及；包含；使参与,medium,CET4
island,/ˈaɪlənd/,n.,岛屿,easy,CET4
issue,/ˈɪʃuː/,n.,问题；发行；v. 发布,easy,CET4
item,/ˈaɪtəm/,n.,项目；条款；一件物品,easy,CET4
journey,/ˈdʒɜːni/,n.,旅行；旅程,easy,CET4
judge,/dʒʌdʒ/,n.,法官；裁判；v. 判断,easy,CET4
justice,/ˈdʒʌstɪs/,n.,正义；公正；司法,medium,CET4
keen,/kiːn/,adj.,热衷的；敏锐的；强烈的,medium,CET4
knowledge,/ˈnɒlɪdʒ/,n.,知识；学问,easy,CET4
label,/ˈleɪbl/,n.,标签；v. 贴标签,medium,CET4
labor,/ˈleɪbər/,n.,劳动；劳工,easy,CET4
lack,/læk/,n.,缺乏；v. 缺少,easy,CET4
landscape,/ˈlændskeɪp/,n.,风景；景观,medium,CET4
launch,/lɔːntʃ/,v.,发射；发起；推出,medium,CET4
law,/lɔː/,n.,法律；规律,easy,CET4
layer,/ˈleɪər/,n.,层；层次,medium,CET4
leading,/ˈliːdɪŋ/,adj.,主要的；领先的,easy,CET4
leak,/liːk/,v.,泄漏；n. 漏洞,medium,CET4
lean,/liːn/,v.,倾斜；倚靠；adj. 瘦的,easy,CET4
leisure,/ˈleʒər/,n.,闲暇；空闲,medium,CET4
lend,/lend/,v.,借出；贷,easy,CET4
length,/leŋθ/,n.,长度；篇幅,easy,CET4
liberty,/ˈlɪbəti/,n.,自由,medium,CET4
license,/ˈlaɪsns/,n.,许可证；执照,easy,CET4
likely,/ˈlaɪkli/,adj.,可能的；adv. 很可能,easy,CET4
limit,/ˈlɪmɪt/,n.,限度；v. 限制,easy,CET4
link,/lɪŋk/,n.,联系；链接；v. 连接,easy,CET4
liquid,/ˈlɪkwɪd/,n.,液体；adj. 液体的,easy,CET4
literature,/ˈlɪtrətʃər/,n.,文学；文献,medium,CET4
loan,/ləʊn/,n.,贷款；v. 借出,medium,CET4
local,/ˈləʊkl/,adj.,当地的；本地的,easy,CET4
locate,/ləʊˈkeɪt/,v.,确定位置；位于,medium,CET4
logic,/ˈlɒdʒɪk/,n.,逻辑；逻辑学,medium,CET4
lonely,/ˈləʊnli/,adj.,孤独的；偏僻的,easy,CET4
loose,/luːs/,adj.,松的；宽松的,easy,CET4
loss,/lɒs/,n.,损失；丧失,easy,CET4
lower,/ˈləʊər/,v.,降低；adj. 较低的,easy,CET4
loyal,/ˈlɔɪəl/,adj.,忠诚的,medium,CET4
lucky,/ˈlʌki/,adj.,幸运的,easy,CET4
luggage,/ˈlʌɡɪdʒ/,n.,行李,easy,CET4
luxury,/ˈlʌkʃəri/,n.,奢侈；奢侈品,medium,CET4
machine,/məˈʃiːn/,n.,机器,easy,CET4
magnet,/ˈmæɡnət/,n.,磁铁；有吸引力的人或物,medium,CET4
maintain,/meɪnˈteɪn/,v.,维持；保养；坚持,medium,CET4
major,/ˈmeɪdʒər/,adj.,主要的；n. 专业；v. 主修,easy,CET4
majority,/məˈdʒɒrəti/,n.,多数；大多数,medium,CET4
manage,/ˈmænɪdʒ/,v.,管理；设法做到,easy,CET4
manufacture,/ˌmænjuˈfæktʃər/,v.,制造；n. 制造业,medium,CET4
margin,/ˈmɑːdʒɪn/,n.,边缘；利润；余地,medium,CET4
marine,/məˈriːn/,adj.,海洋的；n. 海军陆战队士兵,medium,CET4
market,/ˈmɑːkɪt/,n.,市场；v. 推销,easy,CET4
marriage,/ˈmærɪdʒ/,n.,婚姻；结婚,easy,CET4
mass,/mæs/,n.,大量；群众；团,easy,CET4
master,/ˈmɑːstər/,n.,主人；大师；硕士；v. 掌握,easy,CET4
match,/mætʃ/,n.,比赛；火柴；v. 匹配,easy,CET4
material,/məˈtɪəriəl/,n.,材料；资料；adj. 物质的,easy,CET4
matter,/ˈmætər/,n.,事情；物质；v. 要紧,easy,CET4
mature,/məˈtʃʊər/,adj.,成熟的；v. 成熟,medium,CET4
maximum,/ˈmæksɪməm/,n.,最大值；adj. 最大的,medium,CET4
mean,/miːn/,v.,意味着；意思是；adj. 吝啬的,easy,CET4
means,/miːnz/,n.,方法；手段；财产,easy,CET4
measure,/ˈmeʒər/,v.,测量；n. 措施；尺寸,easy,CET4
mechanic,/məˈkænɪk/,n.,机械师；技工,medium,CET4
medal,/ˈmedl/,n.,奖牌；勋章,easy,CET4
media,/ˈmiːdiə/,n.,媒体；媒介,medium,CET4
medical,/ˈmedɪkl/,adj.,医学的；医疗的,easy,CET4
medium,/ˈmiːdiəm/,adj.,中等的；n. 媒介,easy,CET4
memory,/ˈmeməri/,n.,记忆；回忆,easy,CET4
mental,/ˈmentl/,adj.,精神的；智力的,easy,CET4
mention,/ˈmenʃn/,v.,提到；说起,easy,CET4
merchant,/ˈmɜːtʃənt/,n.,商人；adj. 商业的,medium,CET4
mercy,/ˈmɜːsi/,n.,仁慈；怜悯,medium,CET4
merely,/ˈmɪəli/,adv.,仅仅；只不过,medium,CET4
message,/ˈmesɪdʒ/,n.,消息；信息,easy,CET4
metal,/ˈmetl/,n.,金属,easy,CET4
method,/ˈmeθəd/,n.,方法；办法,easy,CET4
middle,/ˈmɪdl/,n.,中间；adj. 中间的,easy,CET4
migrate,/maɪˈɡreɪt/,v.,迁移；移居,medium,CET4
mild,/maɪld/,adj.,温和的；轻微的,easy,CET4
military,/ˈmɪlətri/,adj.,军事的；n. 军队,medium,CET4
mineral,/ˈmɪnərəl/,n.,矿物；adj. 矿物的,medium,CET4
minimum,/ˈmɪnɪməm/,n.,最小值；adj. 最小的,medium,CET4
minister,/ˈmɪnɪstər/,n.,部长；大臣；牧师,medium,CET4
minor,/ˈmaɪnər/,adj.,较小的；次要的；n. 未成年人,medium,CET4
minority,/maɪˈnɒrəti/,n.,少数；少数民族,medium,CET4
miracle,/ˈmɪrəkl/,n.,奇迹,medium,CET4
mirror,/ˈmɪrər/,n.,镜子；v. 反映,easy,CET4
missile,/ˈmɪsaɪl/,n.,导弹；发射物,medium,CET4
mistake,/mɪˈsteɪk/,n.,错误；v. 弄错,easy,CET4
mixture,/ˈmɪkstʃər/,n.,混合物,medium,CET4
mobile,/ˈməʊbaɪl/,adj.,可移动的；n. 手机,easy,CET4
model,/ˈmɒdl/,n.,模型；模特；v. 模拟,easy,CET4
moderate,/ˈmɒdərət/,adj.,适度的；温和的,medium,CET4
modern,/ˈmɒdn/,adj.,现代的；时髦的,easy,CET4
modest,/ˈmɒdɪst/,adj.,谦虚的；适度的,medium,CET4
monitor,/ˈmɒnɪtər/,n.,显示器；班长；v. 监控,medium,CET4
moral,/ˈmɒrəl/,adj.,道德的；n. 寓意；道德,medium,CET4
motion,/ˈməʊʃn/,n.,运动；动作；v. 打手势,medium,CET4
motivate,/ˈməʊtɪveɪt/,v.,激励；激发,medium,CET4
mountain,/ˈmaʊntən/,n.,山；山脉,easy,CET4
multiple,/ˈmʌltɪpl/,adj.,多种的；n. 倍数,medium,CET4
murder,/ˈmɜːdər/,n.,谋杀；v. 谋杀,easy,CET4
muscle,/ˈmʌsl/,n.,肌肉；力量,medium,CET4
mysterious,/mɪˈstɪəriəs/,adj.,神秘的；难以理解的,medium,CET4
myth,/mɪθ/,n.,神话；虚构的事,medium,CET4
narrow,/ˈnærəʊ/,adj.,狭窄的；勉强的,easy,CET4
nation,/ˈneɪʃn/,n.,国家；民族,easy,CET4
native,/ˈneɪtɪv/,adj.,本地的；n. 本地人,easy,CET4
nature,/ˈneɪtʃər/,n.,自然；本性,easy,CET4
navigate,/ˈnævɪɡeɪt/,v.,导航；航行,medium,CET4
necessary,/ˈnesəsəri/,adj.,必要的；必需的,easy,CET4
negative,/ˈneɡətɪv/,adj.,消极的；否定的；n. 负数,medium,CET4
negotiate,/nɪˈɡəʊʃieɪt/,v.,谈判；协商,medium,CET4
nervous,/ˈnɜːvəs/,adj.,紧张的；神经的,easy,CET4
network,/ˈnetwɜːk/,n.,网络；关系网,easy,CET4
neutral,/ˈnjuːtrəl/,adj.,中立的；中性的,medium,CET4
normal,/ˈnɔːml/,adj.,正常的；标准的,easy,CET4
notice,/ˈnəʊtɪs/,v.,注意到；n. 通知；注意,easy,CET4
novel,/ˈnɒvl/,n.,小说；adj. 新颖的,easy,CET4
nuclear,/ˈnjuːkliər/,adj.,核能的；原子核的,medium,CET4
numerous,/ˈnjuːmərəs/,adj.,众多的；许多的,medium,CET4
nurse,/nɜːs/,n.,护士；v. 护理,easy,CET4
object,/ˈɒbdʒɪkt/,n.,物体；目标；v. 反对,medium,CET4
observe,/əbˈzɜːv/,v.,观察；遵守；评论,medium,CET4
obtain,/əbˈteɪn/,v.,获得；得到,medium,CET4
obvious,/ˈɒbviəs/,adj.,明显的；显然的,easy,CET4
occasion,/əˈkeɪʒn/,n.,场合；时机,medium,CET4
occupy,/ˈɒkjupaɪ/,v.,占据；占用；使忙碌,medium,CET4
occur,/əˈkɜːr/,v.,发生；出现,medium,CET4
ocean,/ˈəʊʃn/,n.,海洋,easy,CET4
offer,/ˈɒfər/,v.,提供；提出；n. 提议,easy,CET4
officer,/ˈɒfɪsər/,n.,军官；警官；官员,easy,CET4
official,/əˈfɪʃl/,n.,官员；adj. 官方的,easy,CET4
operate,/ˈɒpəreɪt/,v.,操作；运转；动手术,easy,CET4
opinion,/əˈpɪnjən/,n.,意见；看法,easy,CET4
opportunity,/ˌɒpəˈtjuːnəti/,n.,机会；时机,easy,CET4
oppose,/əˈpəʊz/,v.,反对；抵制,medium,CET4
optimistic,/ˌɒptɪˈmɪstɪk/,adj.,乐观的,medium,CET4
optional,/ˈɒpʃənl/,adj.,可选的；非强制的,medium,CET4
ordinary,/ˈɔːdnri/,adj.,普通的；平常的,easy,CET4
organize,/ˈɔːɡənaɪz/,v.,组织；安排,easy,CET4
origin,/ˈɒrɪdʒɪn/,n.,起源；出身,medium,CET4
otherwise,/ˈʌðəwaɪz/,adv.,否则；另外,easy,CET4
outcome,/ˈaʊtkʌm/,n.,结果；成果,medium,CET4
outstanding,/aʊtˈstændɪŋ/,adj.,杰出的；显著的,medium,CET4
overcome,/ˌəʊvəˈkʌm/,v.,克服；战胜,medium,CET4
overlook,/ˌəʊvəˈlʊk/,v.,忽视；俯瞰,medium,CET4
overseas,/ˌəʊvəˈsiːz/,adv.,在海外；adj. 海外的,easy,CET4
owe,/əʊ/,v.,欠；归功于,easy,CET4
ownership,/ˈəʊnəʃɪp/,n.,所有权,medium,CET4
pace,/peɪs/,n.,步伐；速度；v. 踱步,easy,CET4
package,/ˈpækɪdʒ/,n.,包裹；一揽子；v. 包装,easy,CET4
panic,/ˈpænɪk/,n.,恐慌；v. 使恐慌,medium,CET4
parallel,/ˈpærəlel/,adj.,平行的；n. 平行线；相似处,medium,CET4
participate,/pɑːˈtɪsɪpeɪt/,v.,参加；参与,medium,CET4
particular,/pəˈtɪkjələr/,adj.,特定的；特别的,easy,CET4
passion,/ˈpæʃn/,n.,激情；热情；酷爱,medium,CET4
patient,/ˈpeɪʃnt/,n.,病人；adj. 耐心的,easy,CET4
pattern,/ˈpætn/,n.,模式；图案；方式,easy,CET4
pause,/pɔːz/,v.,暂停；n. 停顿,easy,CET4
peace,/piːs/,n.,和平；安宁,easy,CET4
peculiar,/pɪˈkjuːliər/,adj.,奇怪的；独特的,medium,CET4
percent,/pəˈsent/,n.,百分比,easy,CET4
perform,/pəˈfɔːm/,v.,表演；执行；表现,medium,CET4
period,/ˈpɪəriəd/,n.,时期；周期；句号,easy,CET4
permanent,/ˈpɜːmənənt/,adj.,永久的；长期的,medium,CET4
permit,/pəˈmɪt/,v.,允许；n. 许可证,medium,CET4
persuade,/pəˈsweɪd/,v.,说服；劝说,medium,CET4
pessimistic,/ˌpesɪˈmɪstɪk/,adj.,悲观的,medium,CET4
physical,/ˈfɪzɪkl/,adj.,身体的；物理的,easy,CET4
pity,/ˈpɪti/,n.,同情；遗憾；v. 同情,easy,CET4
plain,/pleɪn/,adj.,清楚的；朴素的；n. 平原,easy,CET4
planet,/ˈplænɪt/,n.,行星,easy,CET4
platform,/ˈplætfɔːm/,n.,平台；站台,medium,CET4
pleasant,/ˈpleznt/,adj.,令人愉快的,easy,CET4
pleasure,/ˈpleʒər/,n.,愉快；乐趣,easy,CET4
plenty,/ˈplenti/,n.,丰富；大量,easy,CET4
plot,/plɒt/,n.,情节；阴谋；v. 策划,medium,CET4
poison,/ˈpɔɪzn/,n.,毒药；v. 毒害,medium,CET4
policy,/ˈpɒləsi/,n.,政策；方针,medium,CET4
polish,/ˈpɒlɪʃ/,v.,擦亮；润色；n. 光泽剂,medium,CET4
pollution,/pəˈluːʃn/,n.,污染,easy,CET4
popular,/ˈpɒpjələr/,adj.,流行的；受欢迎的,easy,CET4
population,/ˌpɒpjuˈleɪʃn/,n.,人口；种群,easy,CET4
port,/pɔːt/,n.,港口；端口,easy,CET4
portrait,/ˈpɔːtreɪt/,n.,肖像；画像,medium,CET4
positive,/ˈpɒzətɪv/,adj.,积极的；肯定的；正面的,medium,CET4
possess,/pəˈzes/,v.,拥有；具有,medium,CET4
possibility,/ˌpɒsəˈbɪləti/,n.,可能性,easy,CET4
postpone,/pəˈspəʊn/,v.,推迟；延期,medium,CET4
poverty,/ˈpɒvəti/,n.,贫穷；贫困,medium,CET4
practical,/ˈpræktɪkl/,adj.,实际的；实用的,easy,CET4
pray,/preɪ/,v.,祈祷；恳求,medium,CET4
precious,/ˈpreʃəs/,adj.,珍贵的；宝贵的,easy,CET4
precise,/prɪˈsaɪs/,adj.,精确的；准确的,medium,CET4
prefer,/prɪˈfɜːr/,v.,更喜欢；宁愿,easy,CET4
pregnant,/ˈpreɡnənt/,adj.,怀孕的；充满的,medium,CET4
prejudice,/ˈpredʒudɪs/,n.,偏见；歧视,medium,CET4
prepare,/prɪˈpeər/,v.,准备；预备,easy,CET4
presence,/ˈprezns/,n.,出席；存在,medium,CET4
preserve,/prɪˈzɜːv/,v.,保护；保存；腌制,medium,CET4
president,/ˈprezɪdənt/,n.,总统；主席；校长,easy,CET4
pressure,/ˈpreʃər/,n.,压力；压强,easy,CET4
pretend,/prɪˈtend/,v.,假装；佯装,easy,CET4
prevent,/prɪˈvent/,v.,阻止；预防,easy,CET4
previous,/ˈpriːviəs/,adj.,先前的；以前的,medium,CET4
pride,/praɪd/,n.,骄傲；自豪,easy,CET4
primary,/ˈpraɪməri/,adj.,主要的；初级的,medium,CET4
principle,/ˈprɪnsəpl/,n.,原则；原理,medium,CET4
prison,/ˈprɪzn/,n.,监狱,easy,CET4
private,/ˈpraɪvət/,adj.,私人的；私有的,easy,CET4
privilege,/ˈprɪvəlɪdʒ/,n.,特权；荣幸,medium,CET4
probably,/ˈprɒbəbli/,adv.,可能；大概,easy,CET4
procedure,/prəˈsiːdʒər/,n.,程序；手续,medium,CET4
process,/ˈprəʊses/,n.,过程；v. 处理,medium,CET4
produce,/prəˈdjuːs/,v.,生产；产生；n. 农产品,easy,CET4
profession,/prəˈfeʃn/,n.,职业；专业,medium,CET4
profit,/ˈprɒfɪt/,n.,利润；收益；v. 获益,medium,CET4
program,/ˈprəʊɡræm/,n.,程序；节目；计划,easy,CET4
progress,/ˈprəʊɡres/,n.,进步；进展；v. 前进,easy,CET4
project,/ˈprɒdʒekt/,n.,项目；工程；v. 投射；预计,easy,CET4
promise,/ˈprɒmɪs/,v.,承诺；n. 诺言；希望,easy,CET4
promote,/prəˈməʊt/,v.,促进；提升；推广,medium,CET4
pronounce,/prəˈnaʊns/,v.,发音；宣布,medium,CET4
proof,/pruːf/,n.,证据；证明,easy,CET4
proper,/ˈprɒpər/,adj.,适当的；正确的,easy,CET4
property,/ˈprɒpəti/,n.,财产；房地产；性质,medium,CET4
proportion,/prəˈpɔːʃn/,n.,比例；部分,medium,CET4
proposal,/prəˈpəʊzl/,n.,提议；建议；求婚,medium,CET4
propose,/prəˈpəʊz/,v.,提议；建议；求婚,medium,CET4
prospect,/ˈprɒspekt/,n.,前景；可能性；v. 勘探,medium,CET4
protect,/prəˈtekt/,v.,保护；防护,easy,CET4
proud,/praʊd/,adj.,自豪的；骄傲的,easy,CET4
prove,/pruːv/,v.,证明；证实,easy,CET4
provide,/prəˈvaɪd/,v.,提供；供给,easy,CET4
province,/ˈprɒvɪns/,n.,省；领域,medium,CET4
psychology,/saɪˈkɒlədʒi/,n.,心理学；心理,medium,CET4
public,/ˈpʌblɪk/,adj.,公共的；公开的；n. 公众,easy,CET4
publish,/ˈpʌblɪʃ/,v.,出版；发表,medium,CET4
punish,/ˈpʌnɪʃ/,v.,惩罚；处罚,easy,CET4
purchase,/ˈpɜːtʃəs/,v.,购买；n. 购买,medium,CET4
purpose,/ˈpɜːpəs/,n.,目的；意图,easy,CET4
pursue,/pəˈsjuː/,v.,追求；从事；追赶,medium,CET4
puzzle,/ˈpʌzl/,n.,谜；难题；v. 使困惑,easy,CET4
quality,/ˈkwɒləti/,n.,质量；品质；特性,easy,CET4
quantity,/ˈkwɒntəti/,n.,数量；大量,medium,CET4
quit,/kwɪt/,v.,停止；放弃；辞职,easy,CET4
quote,/kwəʊt/,v.,引用；报价；n. 引文,medium,CET4
raise,/reɪz/,v.,举起；提高；筹集；抚养,easy,CET4
range,/reɪndʒ/,n.,范围；系列；v. 变化,easy,CET4
rank,/ræŋk/,n.,等级；军衔；v. 排名,medium,CET4
